"CAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"37000","North Carolina","70","Proprietors' income 9/",27650173,30686174,38067226,31713177,27247011,24936751,34701615,28886362,29906142,30409793,31843759,34490450,34893091
"37000","North Carolina","","Employment (number of jobs)","","","","","","","","","","","","",""
"37000","North Carolina","7010","Total employment",5251538,5430998,5413586,5215744,5178363,5292814,5356443,5437125,5568662,5695077,5828879,5933790,6055208
"37000","North Carolina","7020","  Wage and salary employment",4275884,4381114,4369182,4156151,4124455,4175842,4241784,4298323,4389493,4494969,4589226,4656452,4740934
"37000","North Carolina","7040","  Proprietors employment",975654,1049884,1044404,1059593,1053908,1116972,1114659,1138802,1179169,1200108,1239653,1277338,1314274
"37001","Alamance, NC","70","Proprietors' income 9/",246340,240350,234680,228520,282720,283601,342775,329539,335576,331105,326434,306240,314965
"37001","Alamance, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37001","Alamance, NC","7010","Total employment",77138,80082,78758,74921,74330,76422,77711,77885,78971,79311,81194,82464,84379
"37001","Alamance, NC","7020","  Wage and salary employment",62601,64457,63467,59584,58861,60496,61744,61490,62104,62458,64022,64633,66075
"37001","Alamance, NC","7040","  Proprietors employment",14537,15625,15291,15337,15469,15926,15967,16395,16867,16853,17172,17831,18304
"37003","Alexander, NC","70","Proprietors' income 9/",88444,81256,53879,66875,82127,63262,82736,113794,143190,145313,114055,132075,126454
"37003","Alexander, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37003","Alexander, NC","7010","Total employment",14783,14781,14337,13132,12941,13180,13284,13367,13321,13429,13570,13831,13928
"37003","Alexander, NC","7020","  Wage and salary employment",10980,10914,10541,9471,9269,9333,9472,9505,9465,9593,9535,9756,9760
"37003","Alexander, NC","7040","  Proprietors employment",3803,3867,3796,3661,3672,3847,3812,3862,3856,3836,4035,4075,4168
"37005","Alleghany, NC","70","Proprietors' income 9/",34681,33530,33997,37395,39162,37948,39077,35516,41421,45147,43356,48046,44193
"37005","Alleghany, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37005","Alleghany, NC","7010","Total employment",6096,6107,5962,5787,5739,5804,5663,5751,5745,5870,5862,5768,5777
"37005","Alleghany, NC","7020","  Wage and salary employment",4127,3987,3803,3718,3670,3570,3505,3558,3584,3694,3699,3590,3555
"37005","Alleghany, NC","7040","  Proprietors employment",1969,2120,2159,2069,2069,2234,2158,2193,2161,2176,2163,2178,2222
"37007","Anson, NC","70","Proprietors' income 9/",58847,51643,37370,42617,62828,52369,68135,73999,86480,91091,68892,87168,82239
"37007","Anson, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
