county,year,op_death,dosage_unit,population,chain_pharmacy,practitioner,retail_pharmacy,total_employment,wage_and_salary_employment,proprietors_employment
alamance,2009,12,5518180,144769,3725460,560,1792160,74921,59584,15337
alamance,2010,6,5529390,147072,3743200,390,1785800,74330,58861,15469
alamance,2011,7,6057440,149439,4279280,1860,1776300,76422,60496,15926
alamance,2012,5,6259710,151170,4390510,900,1868300,77711,61744,15967
alamance,2013,5,6098840,152472,4255720,1900,1841220,77885,61490,16395
alamance,2014,9,6079040,153713,4399140,1700,1678200,78971,62104,16867
alexander,2009,13,1400830,36278,354200,0,1046630,13132,9471,3661
alexander,2010,6,1571800,36797,379700,0,1192100,12941,9269,3672
alexander,2011,4,1661320,36964,383000,0,1278320,13180,9333,3847
alexander,2012,1,1709780,37014,393500,330,1315950,13284,9472,3812
alexander,2013,4,1665420,37071,363820,400,1301200,13367,9505,3862
alexander,2014,3,1703260,37175,398400,500,1304360,13321,9465,3856
alleghany,2009,0,424500,10905,265600,0,158900,5787,3718,2069
alleghany,2010,3,467850,11084,271250,200,196400,5739,3670,2069
alleghany,2011,0,536730,11106,315230,1100,220400,5804,3570,2234
alleghany,2012,2,480010,11069,257210,1200,221600,5663,3505,2158
alleghany,2013,1,485590,11046,262090,800,222700,5751,3558,2193
alleghany,2014,1,481760,10974,243060,1000,237700,5745,3584,2161
anson,2009,0,872950,25243,465920,0,407030,10034,8057,1977
anson,2010,1,940930,26785,486730,0,454200,9960,7938,2022
anson,2011,2,1001630,26788,539400,0,462230,10609,8043,2566
anson,2012,1,1063540,26699,578400,0,485140,10486,8057,2429
anson,2013,0,1093020,26569,586700,100,506220,10310,7960,2350
anson,2014,2,1050000,26309,580000,0,470000,10538,8122,2416
ashe,2009,4,1146930,25467,604930,1300,540700,13211,8388,4823
ashe,2010,2,1329770,26787,659990,580,669200,12788,8184,4604
ashe,2011,2,1218320,26991,683420,1500,533400,12616,7927,4689
ashe,2012,2,1206790,27099,699490,700,506600,12465,7906,4559
ashe,2013,5,1203490,27180,696710,630,506150,12445,7820,4625
ashe,2014,2,1211970,27173,741370,1500,469100,12318,7690,4628
avery,2009,2,1110650,17903,255830,120,854700,10134,7478,2656
avery,2010,0,1083320,17951,258650,70,824600,9805,7197,2608
avery,2011,1,1026550,17844,270950,0,755600,9750,7105,2645
avery,2012,2,1098350,17815,251400,0,846950,9578,7057,2521
avery,2013,0,1113260,17756,245820,0,867440,9750,7165,2585
avery,2014,0,1051960,17739,263800,0,788160,9980,7377,2603
beaufort,2009,2,1868090,45993,1354130,0,513960,22887,17353,5534
beaufort,2010,3,1832410,47185,1267690,0,564720,22659,17066,5593
beaufort,2011,4,2179340,47392,1469480,0,709860,23172,17529,5643
beaufort,2012,2,2216970,47542,1446950,2300,767720,22609,17029,5580
beaufort,2013,1,2231680,47575,1363420,2100,866160,22283,16611,5672
beaufort,2014,2,2231250,47587,1232640,2200,996410,22265,16563,5702
bertie,2009,1,544500,19187,168300,0,376200,8981,7461,1520
bertie,2010,1,552700,20890,163100,0,389600,8558,7138,1420
bertie,2011,0,564030,21082,177430,0,386600,8549,6923,1626
bertie,2012,0,541780,21035,163220,160,378400,8309,6660,1649
bertie,2013,1,536000,20879,131610,90,404300,8266,6637,1629
bertie,2014,0,564490,20677,150090,0,414400,8426,6808,1618
bladen,2009,3,2013300,32412,649400,0,1363900,16383,13632,2751
bladen,2010,2,2029220,34629,689600,1120,1338500,16149,13424,2725
bladen,2011,2,2250650,34789,761020,0,1489630,16122,13201,2921
bladen,2012,2,2194630,34922,775500,0,1419130,15949,13177,2772
bladen,2013,2,2372630,34969,741000,0,1631630,15837,12933,2904
bladen,2014,6,2427300,34915,779300,100,1647900,16130,13176,2954
brunswick,2009,18,6977600,98712,3997090,2130,2978380,44346,29711,14635
brunswick,2010,16,7008800,101994,3938040,5690,3065070,43328,29434,13894
brunswick,2011,17,6956100,105242,4380450,4870,2570780,43360,29166,14194
brunswick,2012,18,6957870,107925,4675130,5150,2277590,44161,29935,14226
brunswick,2013,14,7242590,110324,4754080,3510,2485000,45968,30981,14987
brunswick,2014,14,7395640,112907,4747470,2000,2646170,47200,31488,15712
buncombe,2009,8,10787815,225869,8321530,10345,2455940,151810,116988,34822
buncombe,2010,10,10965552,233249,8384470,15032,2566050,152432,117438,34994
buncombe,2011,16,11722775,236230,9116280,6665,2599830,155685,118817,36868
buncombe,2012,22,11731420,239000,9026990,5620,2698810,158726,121353,37373
buncombe,2013,11,11418840,241801,8617670,3460,2797710,162410,123921,38489
buncombe,2014,12,11192420,244599,8539220,4060,2649140,167785,126996,40789
burke,2009,12,6141690,88987,2452230,800,3688660,37874,30619,7255
burke,2010,11,6188485,90557,2649000,1195,3538290,37085,29856,7229
burke,2011,8,7148800,90753,3493200,2100,3653500,37550,30285,7265
burke,2012,14,7442140,90821,3640080,1600,3800460,37845,30819,7026
